Latitude,Longitude,Elevation,Slope Angle
-26.816578,27.833327,1492.0,0.0
-26.816557,27.833208,1492.0,0.0
-26.816545,27.83309,1492.0,0.0
-26.816516,27.832674,1492.0,-0.04910963842440101
-26.816519,27.832469,1491.0,0.0
-26.816544,27.832238,1491.0,-0.010377539759554532
-26.816655,27.831275,1490.0,0.07557027624108015
-26.816707,27.83088,1493.0,-0.018776310803693918
-26.816782,27.83035,1492.0,0.0
-26.816798,27.830219,1492.0,0.0
-26.816815,27.830092,1492.0,-0.05022314006110215
-26.816107,27.829975,1488.0,0.013966493753791462
-26.815467,27.829896,1489.0,0.0
-26.815224,27.829857,1489.0,0.0
-26.814955,27.829815,1489.0,0.0
-26.81487,27.829799,1489.0,0.0
-26.814771,27.829774,1489.0,0.0
-26.814669,27.829751,1489.0,0.0
-26.814575,27.82973,1489.0,0.0
-26.814493,27.829706,1489.0,0.0
-26.814456,27.829696,1489.0,0.0
-26.814431,27.829689,1489.0,0.0
-26.814343,27.829659,1489.0,0.0
-26.814297,27.829643,1489.0,0.0
-26.814206,27.82961,1489.0,-0.14514330295363895
-26.814148,27.829587,1488.0,0.0
-26.814011,27.829522,1488.0,0.0
-26.813722,27.829416,1488.0,0.005251551391819508
-26.812159,27.828632,1489.0,0.0
-26.811986,27.828544,1489.0,0.042194035031299815
-26.8116,27.828342,1491.0,-0.4100898178530235
-26.811486,27.828287,1485.0,0.041005253642122194
-26.810684,27.82789,1489.0,0.0
-26.810483,27.82779,1489.0,0.0
-26.810418,27.827757,1489.0,0.0
-26.810372,27.827737,1489.0,0.0
-26.810346,27.827731,1489.0,0.0
-26.810321,27.827727,1489.0,0.0
-26.810234,27.827722,1489.0,0.0
-26.810206,27.827723,1489.0,0.0
-26.810159,27.827728,1489.0,0.0
-26.810116,27.827735,1489.0,0.0
-26.810085,27.827741,1489.0,0.0
-26.81006,27.827749,1489.0,0.0
-26.81001,27.827761,1489.0,-0.13490186959448314
-26.809947,27.827784,1488.0,0.0
-26.809812,27.827835,1488.0,0.008421734696433184
-26.808819,27.828275,1489.0,0.053610875256032864
-26.807874,27.82866,1495.0,0.0
-26.807548,27.828804,1495.0,-0.014991641117850238
-26.806996,27.829067,1494.0,0.0
-26.80615,27.829424,1494.0,0.03154416155730278
-26.805612,27.829635,1496.0,0.0
-26.805472,27.82969,1496.0,0.0
-26.805283,27.829754,1496.0,0.0
-26.805197,27.829771,1496.0,0.0
-26.805102,27.829782,1496.0,0.0
-26.80501,27.829791,1496.0,-0.06750933073917291
-26.804877,27.829789,1495.0,0.0
-26.804551,27.829718,1495.0,0.0
-26.804474,27.829714,1495.0,0.0
-26.804371,27.82972,1495.0,0.0
-26.804327,27.829714,1495.0,0.0
-26.804284,27.829712,1495.0,0.0
-26.80422,27.829716,1495.0,0.0
-26.804172,27.829726,1495.0,-0.19604149345549457
-26.804128,27.829738,1494.0,0.0
-26.80408,27.829755,1494.0,0.0
-26.804033,27.829775,1494.0,0.0
-26.803992,27.829794,1494.0,0.0
-26.803942,27.82982,1494.0,0.0
-26.803904,27.829844,1494.0,0.0
-26.803865,27.829873,1494.0,0.0
-26.803825,27.829899,1494.0,0.0
-26.803789,27.82993,1494.0,0.0
-26.803753,27.829962,1494.0,0.0
-26.803722,27.829995,1494.0,0.0
-26.803691,27.83004,1494.0,0.0
-26.803669,27.830085,1494.0,0.0
-26.803647,27.830127,1494.0,0.0
-26.803626,27.830177,1494.0,0.0
-26.803498,27.83036,1494.0,0.0
-26.803424,27.830445,1494.0,0.0
-26.803343,27.830522,1494.0,-0.22689762493272742
-26.803284,27.830579,1492.0,0.0
-26.803221,27.830622,1492.0,0.0
-26.803192,27.830642,1492.0,0.0
-26.803134,27.830678,1492.0,0.0
-26.803088,27.830705,1492.0,0.0
-26.803017,27.830742,1492.0,0.0
-26.802956,27.830771,1492.0,0.0
-26.802854,27.830811,1492.0,0.07485710416992
-26.802745,27.830867,1493.0,-0.028526242032882083
-26.802433,27.830917,1492.0,0.0
-26.802265,27.830971,1492.0,-0.023593059594276964
-26.801537,27.831224,1490.0,0.0
-26.801056,27.831392,1490.0,0.0
-26.800837,27.831464,1490.0,0.04904860200711632
-26.800661,27.831521,1491.0,0.0
-26.800539,27.83156,1491.0,0.0
-26.800452,27.831584,1491.0,0.0
-26.800369,27.831599,1491.0,0.0
-26.800294,27.831612,1491.0,0.0
-26.80023,27.831621,1491.0,0.0
-26.800126,27.83163,1491.0,0.0
-26.800074,27.831633,1491.0,-0.3214516160808231
-26.799993,27.831635,1488.0,0.0
-26.799922,27.831634,1488.0,0.0
-26.799819,27.831622,1488.0,0.0
-26.799779,27.831619,1488.0,0.0
-26.799716,27.831603,1488.0,0.0
-26.799665,27.831593,1488.0,0.0
-26.799584,27.831577,1488.0,0.0
-26.799513,27.831559,1488.0,0.0
-26.799426,27.831533,1488.0,0.0
-26.799361,27.831519,1488.0,0.0
-26.799247,27.83149,1488.0,0.0
-26.799124,27.831455,1488.0,0.0
-26.799,27.831406,1488.0,0.0
-26.798702,27.831286,1488.0,0.0
-26.798538,27.831203,1488.0,-0.039272176898807534
-26.79833,27.831096,1487.0,0.0
-26.798075,27.830959,1487.0,-0.0570874559858132
-26.797795,27.830798,1485.0,0.02252724869591611
-26.797438,27.830598,1486.0,0.0
-26.797135,27.830428,1486.0,0.0
-26.796742,27.830212,1486.0,-0.07616343883343961
